Titre, 
Date, 2022-08-19 12:10:01.352480
Nom, 
Materiau, 
Charge de rupture, 0.0
Longueur de l'éprouvette, 0.0
Capteur de déplacement, Détecteur ultrasonique
  référence, UC_2000_L2_U_V15
Capteur de charge, Indicateur pour signal analogique
  référence, INDI_PAXS
Méthode d'accroche, Goupilles

t(s), x(mm), F(N), entree_charge
1.4000000000000008, 2.9146723787093314, 3290.5030220878307, 1.8751824906754513
1.4200000000000008, 2.95262045809929, 3355.227888299013, 1.8679795479869779
1.4400000000000008, 2.989942228308977, 3401.410541764752, 1.8625081839128819
1.4600000000000009, 3.0261472007354437, 3417.8845688789397, 1.8459614013600574
1.4800000000000009, 3.062208280110089, 3432.5410656296394, 1.8340379596834218
1.5000000000000009, 3.0999667515364466, 3554.9779215916265, 1.8297079572403507
1.520000000000001, 3.1376925676044785, 3536.311884430606, 1.8172608100604268
1.540000000000001, 3.1754647646077827, 3592.807552215931, 1.8058482295579705
1.560000000000001, 3.2118533144590553, 3581.523205149422, 1.8037428704295473
1.580000000000001, 3.243630499611984, 3658.1936772625554, 1.7915362603356202
1.600000000000001, 3.282372649121202, 3734.605188984826, 1.7752182652380932
